term,estimate,sd,lower_95,upper_95,prior_sd
(Intercept),-0.85815683943817,0.104067649840713,-1.06212568508169,-0.654187993794647,2.5
genderWomen,-0.553768812670802,0.0822003667081955,-0.71487857093485,-0.392659054406753,1.5
math_qQ2,0.244194856064528,0.0640697192952511,0.118620513746245,0.369769198382811,1.5
math_qQ3,0.472300999885371,0.0620447350235843,0.350695553808815,0.593906445961927,1.5
math_qQ4,0.5744626959049,0.0627471294763097,0.451480581998061,0.697444809811739,1.5
math_qQ5,1.13101708571437,0.06454582085642,1.00450960148321,1.25752456994552,1.5
science_qQ2,0.200733950015827,0.0575677606936921,0.0879032123855698,0.313564687646084,1.5
science_qQ3,0.321964578594979,0.0555929466442752,0.213004405377743,0.430924751812215,1.5
science_qQ4,0.50422071228838,0.0563307331694649,0.393814504053493,0.614626920523267,1.5
science_qQ5,0.918156606953114,0.0585683128127614,0.803364823204826,1.0329483907014,1.5
language_qQ2,-0.0734227505469243,0.0508011347204455,-0.172991144972765,0.0261456438789161,1.5
language_qQ3,-0.184418561250998,0.0508681622169833,-0.284118327156026,-0.0847187953459696,1.5
language_qQ4,-0.357051169459197,0.0512637535077817,-0.457526280046788,-0.256576058871606,1.5
language_qQ5,-0.453446069385817,0.0529848770309175,-0.557294520091699,-0.349597618679935,1.5
nse_modelNSE1,-0.226224517308903,0.0842924753821002,-0.391434733225549,-0.0610143013922579,1.5
nse_modelNSE2,-0.0277320207624189,0.0810958828453606,-0.186677030433805,0.131212988908967,1.5
nse_modelNSE3,0.068742048934175,0.0805848163279052,-0.0892012887692945,0.226685386637644,1.5
nse_modelNSE4,0.0489833444965954,0.0810285739383167,-0.109829742141146,0.207796431134337,1.5
sb11_period20151,0.064686294325203,0.0724874164563878,-0.0773864312616732,0.206759019912079,1.5
sb11_period20152,0.0418075232041119,0.0226189929051418,-0.00252488825653316,0.0861399346647569,1.5
sb11_period20161,0.489974873554556,0.0618422332114726,0.368766323736543,0.611183423372569,1.5
sb11_period20162,-0.115152988320913,0.0209645528580709,-0.156242756874718,-0.0740632197671076,1.5
sb11_period20171,-0.00951832946507679,0.0486698062902496,-0.104909396928507,0.0858727379983534,1.5
sb11_period20172,-0.505528166111703,0.0207544822952639,-0.546206203928195,-0.464850128295212,1.5
sb11_period20181,-0.403870159087591,0.0494452900803496,-0.500781146850212,-0.30695917132497,1.5
sb11_period20182,-0.968769463548277,0.0281328623682056,-1.02390886057198,-0.913630066524572,1.5
genderWomen:math_qQ2,-0.0978311444093125,0.0779660476178262,-0.250641789757187,0.0549795009385617,1
genderWomen:math_qQ3,-0.132387674609441,0.0758439341088911,-0.281039053908697,0.0162637046898142,1
genderWomen:math_qQ4,-0.0943713256190845,0.0770485952009531,-0.245383797272358,0.0566411460341891,1
genderWomen:math_qQ5,-0.152620713775622,0.0797286227551152,-0.308885942912629,0.00364451536138416,1
genderWomen:science_qQ2,0.0150080703720686,0.0726847683913067,-0.127451457899528,0.157467598643665,1
genderWomen:science_qQ3,0.0392224873235006,0.0704923979365655,-0.0989400738160333,0.177385048463035,1
genderWomen:science_qQ4,0.0274539018977216,0.0717853377809334,-0.11324277477095,0.168150578566393,1
genderWomen:science_qQ5,0.00702911849212276,0.0750987757429805,-0.140161777247169,0.154220014231415,1
genderWomen:language_qQ2,0.113852580372218,0.0680402405710029,-0.019503840646389,0.247209001390824,1
genderWomen:language_qQ3,0.172085994240666,0.0678645596591661,0.0390739014820303,0.305098086999301,1
genderWomen:language_qQ4,0.244589948418456,0.0683407638202215,0.110644512654864,0.378535384182048,1
genderWomen:language_qQ5,0.229357160210598,0.0706471173581485,0.0908913545770521,0.367822965844143,1
