gender,math_q,science_q,language_q,n,stem,stem_rate
Men,Q2,Q1,Q5,10,1,0.1
Men,Q5,Q2,Q1,13,7,0.538461538461538
Men,Q3,Q5,Q1,11,8,0.727272727272727
Women,Q1,Q5,Q4,17,6,0.352941176470588
Men,Q1,Q5,Q4,6,2,0.333333333333333
Men,Q1,Q2,Q5,5,1,0.2
Men,Q2,Q5,Q3,29,20,0.689655172413793
Men,Q2,Q5,Q1,5,3,0.6
Women,Q5,Q4,Q1,18,8,0.444444444444444
Men,Q5,Q1,Q5,15,7,0.466666666666667
Women,Q1,Q5,Q3,3,0,0
Men,Q1,Q1,Q5,4,1,0.25
Men,Q1,Q5,Q5,1,1,1
Men,Q1,Q5,Q3,2,0,0
Women,Q2,Q5,Q1,2,1,0.5
Women,Q1,Q5,Q2,1,1,1
