gender,nse_model,sb11_period,math_q,science_q,language_q,STEM_AREA
Men,NSE2,20162,Q5,Q5,Q4,0
Women,NSE3,20142,Q3,Q5,Q4,0
Women,NSE1,20162,Q5,Q5,Q5,0
Women,NSE2,20142,Q2,Q2,Q2,0
Men,NSE3,20162,Q2,Q1,Q3,0
Men,NSE4,20151,Q3,Q4,Q3,0
Men,NSE3,20162,Q4,Q3,Q3,0
Men,NSE2,20142,Q4,Q4,Q5,0
Women,NSE3,20162,Q3,Q4,Q3,0
Men,NSE3,20182,Q5,Q4,Q5,0
Women,NSE3,20152,Q2,Q3,Q3,0
Men,NSE4,20182,Q2,Q2,Q1,0
Women,NSE3,20172,Q4,Q1,Q2,0
